Airline,Source,Destination,Duration,Total stops,Price,Date
"Royal Jordanian, Aeroflot",MEX,PAR,15h 00m ,2 stops ,"1,871 NIS ",01/03/2023
"Gulf Air, Aeroflot",MEX,PAR,17h 05m ,2 stops ,"1,901 NIS ",01/03/2023
"Turkish Airlines, Air Serbia",MEX,PAR,17h 25m ,2 stops ,"2,008 NIS ",01/03/2023
"Etihad Airways, Aeroflot",MEX,PAR,18h 25m ,2 stops ,"2,012 NIS ",01/03/2023
"Turkish Airlines, Air Serbia",MEX,PAR,17h 25m ,2 stops ,"2,081 NIS ",01/03/2023
"SAUDIA, Aeroflot",MEX,PAR,13h 45m ,2 stops ,"2,120 NIS ",01/03/2023
"SAUDIA, Aeroflot",MEX,PAR,14h 45m ,2 stops ,"2,120 NIS ",01/03/2023
"SAUDIA, Aeroflot",MEX,PAR,15h 45m ,2 stops ,"2,120 NIS ",01/03/2023
"SAUDIA, Aeroflot",MEX,PAR,18h 30m ,2 stops ,"2,120 NIS ",01/03/2023
"SAUDIA, Aeroflot",MEX,PAR,18h 45m ,2 stops ,"2,120 NIS ",01/03/2023
KLM,MEX,PAR,16h 30m ,2 stops ,"2,239 NIS ",01/03/2023
"SAUDIA, Aeroflot",MEX,PAR,19h 15m ,2 stops ,"2,120 NIS ",01/03/2023
Air France,MEX,PAR,19h 05m ,2 stops ,"2,331 NIS ",01/03/2023
Air France,MEX,PAR,19h 05m ,2 stops ,"2,331 NIS ",01/03/2023
"KLM, Aeroflot",MEX,PAR,17h 50m ,2 stops ,"2,471 NIS ",01/03/2023
"Qatar Airways, Finnair",MEX,PAR,16h 00m ,2 stops ,"2,940 NIS ",01/03/2023
"Gulf Air, KLM",MEX,PAR,19h 45m ,3 stops ,"1,787 NIS ",01/03/2023
"Gulf Air, KLM",MEX,PAR,19h 45m ,3 stops ,"2,097 NIS ",01/03/2023
Multiple Airlines,MEX,PAR,17h 55m ,2 stops ,"4,684 NIS ",01/03/2023
"SAUDIA, KLM",MEX,PAR,14h 55m ,2 stops ,"8,513 NIS ",01/03/2023
Multiple Airlines,MEX,PAR,19h 45m ,2 stops ,"8,546 NIS ",01/03/2023
Multiple Airlines,MEX,PAR,18h 20m ,2 stops ,"12,949 NIS ",01/03/2023
Multiple Airlines,MEX,PAR,15h 45m ,2 stops ,"13,866 NIS ",01/03/2023
"MEA, Aeroflot",MEX,PAR,17h 15m ,2 stops ,"14,118 NIS ",01/03/2023
"Emirates, Aeroflot",MEX,PAR,17h 20m ,1 stop ,"14,654 NIS ",01/03/2023
Qatar Airways,MEX,PAR,20h 00m ,1 stop ,"2,216 NIS ",02/03/2023
"Turkish Airlines, Nordwind Airlines",MEX,PAR,15h 10m ,1 stop ,"1,679 NIS ",02/03/2023
Multiple Airlines,MEX,PAR,19h 10m ,3 stops ,971 NIS ,02/03/2023
"Turkish Airlines, Aeroflot",MEX,PAR,12h 05m ,1 stop ,"1,811 NIS ",02/03/2023
"Turkish Airlines, Aeroflot",MEX,PAR,16h 30m ,1 stop ,"1,811 NIS ",02/03/2023
Qatar Airways,MEX,PAR,20h 00m ,1 stop ,"2,209 NIS ",02/03/2023
"flydubai, Aeroflot",MEX,PAR,11h 40m ,1 stop ,"2,501 NIS ",02/03/2023
"SAUDIA, Aeroflot",MEX,PAR,9h 40m ,1 stop ,"2,660 NIS ",02/03/2023
"SAUDIA, Aeroflot",MEX,PAR,12h 10m ,1 stop ,"2,660 NIS ",02/03/2023
"Emirates, Aeroflot",MEX,PAR,11h 25m ,1 stop ,"2,668 NIS ",02/03/2023
"SAUDIA, Aeroflot",MEX,PAR,17h 30m ,1 stop ,"2,736 NIS ",02/03/2023
"SAUDIA, Air France",MEX,PAR,13h 00m ,1 stop ,"2,754 NIS ",02/03/2023
"SAUDIA, Aeroflot",MEX,PAR,17h 15m ,1 stop ,"2,793 NIS ",02/03/2023
"Etihad Airways, Nordwind Airlines",MEX,PAR,18h 35m ,2 stops ,"1,159 NIS ",02/03/2023
"Turkish Airlines, Nordwind Airlines",MEX,PAR,12h 55m ,2 stops ,"1,539 NIS ",02/03/2023
Multiple Airlines,MEX,PAR,13h 35m ,2 stops ,"1,655 NIS ",02/03/2023
Multiple Airlines,MEX,PAR,16h 25m ,2 stops ,"1,655 NIS ",02/03/2023
"Gulf Air, Nordwind Airlines",MEX,PAR,15h 45m ,2 stops ,"1,684 NIS ",02/03/2023
"Turkish Airlines, Nordwind Airlines",MEX,PAR,15h 55m ,2 stops ,"1,765 NIS ",02/03/2023
"Egypt Air, Aeroflot",MEX,PAR,17h 05m ,1 stop ,"3,730 NIS ",02/03/2023
"British Airways, Finnair",MEX,PAR,19h 10m ,2 stops ,"1,781 NIS ",02/03/2023
"Egypt Air, Aeroflot",MEX,PAR,18h 35m ,2 stops ,"1,787 NIS ",02/03/2023
"Gulf Air, Aeroflot",MEX,PAR,17h 05m ,2 stops ,"1,816 NIS ",02/03/2023
"Turkish Airlines, Aeroflot",MEX,PAR,14h 45m ,2 stops ,"2,021 NIS ",02/03/2023
"Turkish Airlines, Aeroflot",MEX,PAR,15h 50m ,2 stops ,"2,021 NIS ",02/03/2023
"Turkish Airlines, Aeroflot",MEX,PAR,16h 50m ,2 stops ,"2,021 NIS ",02/03/2023
Multiple Airlines,MEX,PAR,15h 10m ,2 stops ,"2,031 NIS ",02/03/2023
"Royal Jordanian, Nordwind Airlines",MEX,PAR,15h 10m ,2 stops ,"2,039 NIS ",02/03/2023
"British Airways, Aeroflot",MEX,PAR,17h 05m ,2 stops ,"2,135 NIS ",02/03/2023
"Egypt Air, Air France",MEX,PAR,20h 30m ,3 stops ,"1,525 NIS ",02/03/2023
"Gulf Air, KLM",MEX,PAR,19h 45m ,3 stops ,"1,646 NIS ",02/03/2023
Multiple Airlines,MEX,PAR,17h 50m ,3 stops ,"1,710 NIS ",02/03/2023
"Gulf Air, Nordwind Airlines",MEX,PAR,16h 30m ,3 stops ,"1,770 NIS ",02/03/2023
"Qatar Airways, Finnair",MEX,PAR,16h 00m ,2 stops ,"2,940 NIS ",02/03/2023
"Egypt Air, Aeroflot",MEX,PAR,18h 05m ,2 stops ,"4,816 NIS ",02/03/2023
"Egypt Air, Aeroflot",MEX,PAR,18h 15m ,2 stops ,"4,845 NIS ",02/03/2023
"SAUDIA, KLM",MEX,PAR,14h 55m ,2 stops ,"8,513 NIS ",02/03/2023
"SAUDIA, KLM",MEX,PAR,14h 55m ,2 stops ,"8,513 NIS ",02/03/2023
Multiple Airlines,MEX,PAR,13h 45m ,2 stops ,"8,739 NIS ",02/03/2023
Multiple Airlines,MEX,PAR,15h 45m ,2 stops ,"13,999 NIS ",02/03/2023
"MEA, Aeroflot",MEX,PAR,17h 15m ,2 stops ,"14,118 NIS ",02/03/2023
"Emirates, Aeroflot",MEX,PAR,17h 20m ,1 stop ,"14,654 NIS ",02/03/2023
"Emirates, Aeroflot",MEX,PAR,17h 05m ,2 stops ,"31,859 NIS ",02/03/2023
Qatar Airways,MEX,PAR,9h 00m ,1 stop ,"2,344 NIS ",03/03/2023
"Turkish Airlines, Nordwind Airlines",MEX,PAR,10h 50m ,1 stop ,"1,617 NIS ",03/03/2023
Multiple Airlines,MEX,PAR,19h 45m ,3 stops ,907 NIS ,03/03/2023
"Turkish Airlines, Aeroflot",MEX,PAR,12h 05m ,1 stop ,"1,902 NIS ",03/03/2023
Qatar Airways,MEX,PAR,9h 00m ,1 stop ,"2,322 NIS ",03/03/2023
"Turkish Airlines, Aeroflot",MEX,PAR,16h 30m ,1 stop ,"1,902 NIS ",03/03/2023
"flynas, Aeroflot",MEX,PAR,13h 30m ,1 stop ,"2,160 NIS ",03/03/2023
Qatar Airways,MEX,PAR,14h 40m ,1 stop ,"2,322 NIS ",03/03/2023
"Egypt Air, Aeroflot",MEX,PAR,17h 05m ,1 stop ,"2,269 NIS ",03/03/2023
KLM,MEX,PAR,16h 30m ,1 stop ,"2,295 NIS ",03/03/2023
"flydubai, Aeroflot",MEX,PAR,11h 40m ,1 stop ,"2,478 NIS ",03/03/2023
"Emirates, Aeroflot",MEX,PAR,11h 25m ,1 stop ,"2,645 NIS ",03/03/2023
"SAUDIA, Aeroflot",MEX,PAR,11h 20m ,1 stop ,"2,726 NIS ",03/03/2023
"SAUDIA, Aeroflot",MEX,PAR,9h 35m ,1 stop ,"2,847 NIS ",03/03/2023
"KLM, Aeroflot",MEX,PAR,16h 30m ,1 stop ,"2,584 NIS ",03/03/2023
"SAUDIA, Aeroflot",MEX,PAR,17h 30m ,1 stop ,"2,742 NIS ",03/03/2023
"SAUDIA, Air France",MEX,PAR,13h 15m ,1 stop ,"2,754 NIS ",03/03/2023
"SAUDIA, Aeroflot",MEX,PAR,12h 45m ,1 stop ,"2,767 NIS ",03/03/2023
"SAUDIA, Aeroflot",MEX,PAR,12h 10m ,1 stop ,"2,847 NIS ",03/03/2023
"SAUDIA, Aeroflot",MEX,PAR,14h 45m ,1 stop ,"2,847 NIS ",03/03/2023
"flynas, Finnair",MEX,PAR,16h 45m ,2 stops ,"1,429 NIS ",03/03/2023
"Egypt Air, Aeroflot",MEX,PAR,14h 10m ,2 stops ,"1,792 NIS ",03/03/2023
Multiple Airlines,MEX,PAR,16h 20m ,2 stops ,"1,585 NIS ",03/03/2023
"Egypt Air, Aeroflot",MEX,PAR,18h 35m ,2 stops ,"1,792 NIS ",03/03/2023
"Turkish Airlines, Nordwind Airlines",MEX,PAR,15h 45m ,2 stops ,"1,816 NIS ",03/03/2023
"Gulf Air, Aeroflot",MEX,PAR,17h 05m ,2 stops ,"1,822 NIS ",03/03/2023
"Emirates, Finnair",MEX,PAR,16h 15m ,2 stops ,"1,899 NIS ",03/03/2023
"Royal Jordanian, Aeroflot",MEX,PAR,15h 00m ,2 stops ,"2,151 NIS ",03/03/2023
"Royal Jordanian, Aeroflot",MEX,PAR,17h 40m ,2 stops ,"2,161 NIS ",03/03/2023
"Royal Jordanian, Aeroflot",MEX,PAR,12h 05m ,2 stops ,"2,173 NIS ",03/03/2023
"Royal Jordanian, Aeroflot",MEX,PAR,16h 30m ,2 stops ,"2,173 NIS ",03/03/2023
KLM,MEX,PAR,16h 30m ,2 stops ,"2,239 NIS ",03/03/2023
Multiple Airlines,MEX,PAR,19h 00m ,3 stops ,"1,398 NIS ",03/03/2023
Multiple Airlines,MEX,PAR,18h 25m ,3 stops ,"1,420 NIS ",03/03/2023
Multiple Airlines,MEX,PAR,16h 20m ,3 stops ,"1,555 NIS ",03/03/2023
"Egypt Air, Nordwind Airlines",MEX,PAR,17h 50m ,3 stops ,"1,583 NIS ",03/03/2023
"Gulf Air, KLM",MEX,PAR,19h 45m ,3 stops ,"1,729 NIS ",03/03/2023
"Gulf Air, Nordwind Airlines",MEX,PAR,16h 20m ,3 stops ,"1,736 NIS ",03/03/2023
Multiple Airlines,MEX,PAR,16h 15m ,3 stops ,"1,994 NIS ",03/03/2023
Multiple Airlines,MEX,PAR,15h 40m ,3 stops ,"2,061 NIS ",03/03/2023
"KLM, Aeroflot",MEX,PAR,17h 50m ,2 stops ,"2,495 NIS ",03/03/2023
"KLM, Aeroflot",MEX,PAR,16h 30m ,2 stops ,"2,514 NIS ",03/03/2023
"Qatar Airways, Finnair",MEX,PAR,16h 00m ,2 stops ,"3,070 NIS ",03/03/2023
"SAUDIA, Air France",MEX,PAR,21h 10m ,2 stops ,"3,189 NIS ",03/03/2023
Multiple Airlines,MEX,PAR,17h 55m ,2 stops ,"4,611 NIS ",03/03/2023
"Egypt Air, Aeroflot",MEX,PAR,20h 40m ,2 stops ,"4,816 NIS ",03/03/2023
"Egypt Air, Aeroflot",MEX,PAR,18h 15m ,2 stops ,"4,845 NIS ",03/03/2023
"MEA, Aeroflot",MEX,PAR,21h 10m ,2 stops ,"12,331 NIS ",03/03/2023
Multiple Airlines,MEX,PAR,18h 20m ,2 stops ,"12,949 NIS ",03/03/2023
"MEA, Aeroflot",MEX,PAR,17h 15m ,2 stops ,"14,118 NIS ",03/03/2023
Multiple Airlines,MEX,PAR,15h 45m ,2 stops ,"14,182 NIS ",03/03/2023
"Emirates, Aeroflot",MEX,PAR,17h 20m ,1 stop ,"14,654 NIS ",03/03/2023
Multiple Airlines,MEX,PAR,14h 25m ,2 stops ,"18,548 NIS ",03/03/2023
Multiple Airlines,MEX,PAR,15h 40m ,2 stops ,"19,166 NIS ",03/03/2023
Qatar Airways,MEX,PAR,20h 00m ,1 stop ,"2,393 NIS ",04/03/2023
"Turkish Airlines, Nordwind Airlines",MEX,PAR,15h 10m ,1 stop ,"1,725 NIS ",04/03/2023
"Etihad Airways, Nordwind Airlines",MEX,PAR,18h 35m ,2 stops ,"1,164 NIS ",04/03/2023
"Turkish Airlines, Aeroflot",MEX,PAR,12h 05m ,1 stop ,"1,891 NIS ",04/03/2023
"Turkish Airlines, Aeroflot",MEX,PAR,16h 30m ,1 stop ,"1,891 NIS ",04/03/2023
"flynas, Aeroflot",MEX,PAR,13h 30m ,1 stop ,"2,160 NIS ",04/03/2023
"Egypt Air, Aeroflot",MEX,PAR,17h 05m ,1 stop ,"2,260 NIS ",04/03/2023
KLM,MEX,PAR,16h 30m ,1 stop ,"2,295 NIS ",04/03/2023
"flydubai, Aeroflot",MEX,PAR,11h 40m ,1 stop ,"2,501 NIS ",04/03/2023
"Emirates, Aeroflot",MEX,PAR,11h 25m ,1 stop ,"2,623 NIS ",04/03/2023
"MEA, Aeroflot",MEX,PAR,10h 20m ,1 stop ,"2,763 NIS ",04/03/2023
Qatar Airways,MEX,PAR,20h 00m ,1 stop ,"2,335 NIS ",04/03/2023
"KLM, Aeroflot",MEX,PAR,17h 50m ,1 stop ,"2,542 NIS ",04/03/2023
"KLM, Aeroflot",MEX,PAR,16h 30m ,1 stop ,"2,584 NIS ",04/03/2023
"SAUDIA, Aeroflot",MEX,PAR,17h 30m ,1 stop ,"2,736 NIS ",04/03/2023
"SAUDIA, Air France",MEX,PAR,13h 15m ,1 stop ,"2,754 NIS ",04/03/2023
"SAUDIA, Aeroflot",MEX,PAR,20h 50m ,1 stop ,"2,736 NIS ",04/03/2023
"Egypt Air, Nordwind Airlines",MEX,PAR,17h 15m ,2 stops ,"1,610 NIS ",04/03/2023
"Royal Jordanian, Nordwind Airlines",MEX,PAR,15h 10m ,2 stops ,"1,736 NIS ",04/03/2023
"Egypt Air, Aeroflot",MEX,PAR,14h 10m ,2 stops ,"1,776 NIS ",04/03/2023
"Egypt Air, Aeroflot",MEX,PAR,18h 35m ,2 stops ,"1,776 NIS ",04/03/2023
"British Airways, Finnair",MEX,PAR,19h 10m ,2 stops ,"1,781 NIS ",04/03/2023
"Royal Jordanian, Aeroflot",MEX,PAR,15h 00m ,2 stops ,"1,901 NIS ",04/03/2023
"Gulf Air, Nordwind Airlines",MEX,PAR,19h 25m ,2 stops ,"1,962 NIS ",04/03/2023
"British Airways, Aeroflot",MEX,PAR,17h 05m ,2 stops ,"2,135 NIS ",04/03/2023
KLM,MEX,PAR,16h 30m ,2 stops ,"2,239 NIS ",04/03/2023
Air France,MEX,PAR,19h 05m ,2 stops ,"2,331 NIS ",04/03/2023
Air France,MEX,PAR,19h 05m ,2 stops ,"2,331 NIS ",04/03/2023
"Qatar Airways, Finnair",MEX,PAR,16h 00m ,2 stops ,"3,070 NIS ",04/03/2023
Multiple Airlines,MEX,PAR,19h 10m ,3 stops ,"1,304 NIS ",04/03/2023
Multiple Airlines,MEX,PAR,19h 00m ,3 stops ,"1,401 NIS ",04/03/2023
"Gulf Air, KLM",MEX,PAR,19h 45m ,3 stops ,"1,649 NIS ",04/03/2023
"Egypt Air, Air France",MEX,PAR,20h 30m ,3 stops ,"1,810 NIS ",04/03/2023
Multiple Airlines,MEX,PAR,13h 45m ,2 stops ,"8,533 NIS ",04/03/2023
Multiple Airlines,MEX,PAR,17h 05m ,2 stops ,"8,654 NIS ",04/03/2023
"MEA, Aeroflot",MEX,PAR,17h 15m ,2 stops ,"14,118 NIS ",04/03/2023
Multiple Airlines,MEX,PAR,15h 45m ,2 stops ,"14,339 NIS ",04/03/2023
"Emirates, Aeroflot",MEX,PAR,17h 20m ,1 stop ,"14,654 NIS ",04/03/2023
"MEA, Aeroflot",MEX,PAR,17h 00m ,1 stop ,"15,346 NIS ",04/03/2023
Qatar Airways,MEX,PAR,9h 00m ,1 stop ,"2,190 NIS ",05/03/2023
"Turkish Airlines, Nordwind Airlines",MEX,PAR,15h 35m ,1 stop ,"1,514 NIS ",05/03/2023
"Etihad Airways, Aeroflot",MEX,PAR,19h 55m ,2 stops ,"1,345 NIS ",05/03/2023
Qatar Airways,MEX,PAR,9h 00m ,1 stop ,"2,190 NIS ",05/03/2023
"Turkish Airlines, Aeroflot",MEX,PAR,16h 50m ,1 stop ,"1,841 NIS ",05/03/2023
"Egypt Air, Aeroflot",MEX,PAR,17h 05m ,1 stop ,"1,958 NIS ",05/03/2023
Qatar Airways,MEX,PAR,14h 40m ,1 stop ,"2,190 NIS ",05/03/2023
"Turkish Airlines, Aeroflot",MEX,PAR,21h 15m ,1 stop ,"1,841 NIS ",05/03/2023
"flydubai, Aeroflot",MEX,PAR,11h 40m ,1 stop ,"2,570 NIS ",05/03/2023
"Emirates, Aeroflot",MEX,PAR,11h 25m ,1 stop ,"2,692 NIS ",05/03/2023
"SAUDIA, Air France",MEX,PAR,13h 00m ,1 stop ,"2,754 NIS ",05/03/2023
"SAUDIA, Aeroflot",MEX,PAR,21h 05m ,1 stop ,"2,793 NIS ",05/03/2023
"flynas, Finnair",MEX,PAR,16h 45m ,2 stops ,"1,535 NIS ",05/03/2023
Multiple Airlines,MEX,PAR,14h 40m ,2 stops ,"1,734 NIS ",05/03/2023
Multiple Airlines,MEX,PAR,19h 45m ,2 stops ,"1,734 NIS ",05/03/2023
"Egypt Air, Aeroflot",MEX,PAR,18h 35m ,2 stops ,"1,757 NIS ",05/03/2023
"Egypt Air, Aeroflot",MEX,PAR,20h 10m ,2 stops ,"1,795 NIS ",05/03/2023
"Gulf Air, Aeroflot",MEX,PAR,17h 05m ,2 stops ,"1,822 NIS ",05/03/2023
"Royal Jordanian, Aeroflot",MEX,PAR,12h 05m ,2 stops ,"2,173 NIS ",05/03/2023
"Royal Jordanian, Aeroflot",MEX,PAR,16h 30m ,2 stops ,"2,173 NIS ",05/03/2023
"Qatar Airways, Aeroflot",MEX,PAR,14h 40m ,2 stops ,"2,264 NIS ",05/03/2023
Multiple Airlines,MEX,PAR,16h 20m ,2 stops ,"2,230 NIS ",05/03/2023
"Egypt Air, Aeroflot",MEX,PAR,17h 50m ,2 stops ,"2,429 NIS ",05/03/2023
"Gulf Air, Aeroflot",MEX,PAR,15h 05m ,2 stops ,"2,491 NIS ",05/03/2023
"Qatar Airways, Finnair",MEX,PAR,16h 00m ,2 stops ,"2,940 NIS ",05/03/2023
Multiple Airlines,MEX,PAR,19h 00m ,3 stops ,"1,401 NIS ",05/03/2023
Multiple Airlines,MEX,PAR,19h 10m ,3 stops ,"1,435 NIS ",05/03/2023
Multiple Airlines,MEX,PAR,19h 15m ,3 stops ,"1,492 NIS ",05/03/2023
"Egypt Air, KLM",MEX,PAR,21h 15m ,3 stops ,"1,846 NIS ",05/03/2023
"Egypt Air, KLM",MEX,PAR,21h 15m ,3 stops ,"1,856 NIS ",05/03/2023
Multiple Airlines,MEX,PAR,16h 15m ,3 stops ,"1,897 NIS ",05/03/2023
Multiple Airlines,MEX,PAR,16h 50m ,3 stops ,"1,909 NIS ",05/03/2023
"Gulf Air, KLM",MEX,PAR,19h 45m ,3 stops ,"1,981 NIS ",05/03/2023
"Egypt Air, KLM",MEX,PAR,21h 15m ,3 stops ,"1,989 NIS ",05/03/2023
"SAUDIA, Air France",MEX,PAR,21h 10m ,2 stops ,"3,148 NIS ",05/03/2023
Multiple Airlines,MEX,PAR,17h 55m ,2 stops ,"4,683 NIS ",05/03/2023
Multiple Airlines,MEX,PAR,20h 40m ,2 stops ,"8,425 NIS ",05/03/2023
Multiple Airlines,MEX,PAR,17h 40m ,2 stops ,"8,533 NIS ",05/03/2023
Multiple Airlines,MEX,PAR,19h 45m ,2 stops ,"8,546 NIS ",05/03/2023
Multiple Airlines,MEX,PAR,17h 05m ,2 stops ,"8,890 NIS ",05/03/2023
"MEA, Aeroflot",MEX,PAR,21h 10m ,2 stops ,"12,006 NIS ",05/03/2023
"Lufthansa, Aeroflot",MEX,PAR,21h 05m ,1 stop ,"12,137 NIS ",05/03/2023
Multiple Airlines,MEX,PAR,18h 20m ,2 stops ,"13,294 NIS ",05/03/2023
Multiple Airlines,MEX,PAR,15h 45m ,2 stops ,"13,866 NIS ",05/03/2023
"MEA, Aeroflot",MEX,PAR,17h 15m ,2 stops ,"14,118 NIS ",05/03/2023
"Emirates, Aeroflot",MEX,PAR,17h 20m ,1 stop ,"14,654 NIS ",05/03/2023
Qatar Airways,MEX,PAR,20h 00m ,1 stop ,"2,233 NIS ",06/03/2023
"Turkish Airlines, Aeroflot",MEX,PAR,16h 50m ,1 stop ,"1,862 NIS ",06/03/2023
Multiple Airlines,MEX,PAR,19h 10m ,3 stops ,"1,089 NIS ",06/03/2023
"flynas, Aeroflot",MEX,PAR,13h 30m ,1 stop ,"1,882 NIS ",06/03/2023
"Turkish Airlines, Nordwind Airlines",MEX,PAR,19h 55m ,1 stop ,"1,832 NIS ",06/03/2023
"Egypt Air, Aeroflot",MEX,PAR,17h 05m ,1 stop ,"2,002 NIS ",06/03/2023
KLM,MEX,PAR,16h 30m ,1 stop ,"2,295 NIS ",06/03/2023
Qatar Airways,MEX,PAR,20h 00m ,1 stop ,"2,209 NIS ",06/03/2023
"KLM, Aeroflot",MEX,PAR,16h 30m ,1 stop ,"2,584 NIS ",06/03/2023
"SAUDIA, Aeroflot",MEX,PAR,11h 35m ,1 stop ,"2,746 NIS ",06/03/2023
"MEA, Aeroflot",MEX,PAR,10h 20m ,1 stop ,"2,763 NIS ",06/03/2023
"Emirates, Aeroflot",MEX,PAR,11h 25m ,1 stop ,"2,805 NIS ",06/03/2023
"KLM, Aeroflot",MEX,PAR,17h 50m ,1 stop ,"2,542 NIS ",06/03/2023
"flydubai, Aeroflot",MEX,PAR,11h 40m ,1 stop ,"2,638 NIS ",06/03/2023
Air France,MEX,PAR,13h 15m ,1 stop ,"3,013 NIS ",06/03/2023
"Turkish Airlines, Pobeda",MEX,PAR,16h 40m ,2 stops ,"1,592 NIS ",06/03/2023
Multiple Airlines,MEX,PAR,20h 30m ,2 stops ,"1,613 NIS ",06/03/2023
"Royal Jordanian, Aeroflot",MEX,PAR,15h 00m ,2 stops ,"1,851 NIS ",06/03/2023
Multiple Airlines,MEX,PAR,16h 20m ,2 stops ,"1,895 NIS ",06/03/2023
KLM,MEX,PAR,16h 30m ,2 stops ,"2,239 NIS ",06/03/2023
"Turkish Airlines, Pobeda",MEX,PAR,16h 05m ,2 stops ,"2,225 NIS ",06/03/2023
"Egypt Air, Aeroflot",MEX,PAR,14h 55m ,2 stops ,"2,286 NIS ",06/03/2023
"Egypt Air, Aeroflot",MEX,PAR,19h 35m ,2 stops ,"2,319 NIS ",06/03/2023
"Qatar Airways, Aeroflot",MEX,PAR,14h 40m ,2 stops ,"2,340 NIS ",06/03/2023
"KLM, Aeroflot",MEX,PAR,17h 50m ,2 stops ,"2,471 NIS ",06/03/2023
"KLM, Aeroflot",MEX,PAR,16h 30m ,2 stops ,"2,514 NIS ",06/03/2023
"Qatar Airways, Finnair",MEX,PAR,16h 00m ,2 stops ,"2,940 NIS ",06/03/2023
Multiple Airlines,MEX,PAR,19h 00m ,3 stops ,"1,401 NIS ",06/03/2023
"Egypt Air, KLM",MEX,PAR,21h 15m ,3 stops ,"1,635 NIS ",06/03/2023
"Gulf Air, KLM",MEX,PAR,19h 45m ,3 stops ,"1,644 NIS ",06/03/2023
"SAUDIA, KLM",MEX,PAR,14h 55m ,2 stops ,"8,513 NIS ",06/03/2023
Multiple Airlines,MEX,PAR,18h 05m ,2 stops ,"8,767 NIS ",06/03/2023
Multiple Airlines,MEX,PAR,13h 45m ,2 stops ,"8,877 NIS ",06/03/2023
Multiple Airlines,MEX,PAR,20h 25m ,2 stops ,"12,927 NIS ",06/03/2023
"MEA, Aeroflot",MEX,PAR,17h 15m ,2 stops ,"14,118 NIS ",06/03/2023
Multiple Airlines,MEX,PAR,15h 45m ,2 stops ,"14,177 NIS ",06/03/2023
"Emirates, Aeroflot",MEX,PAR,17h 20m ,1 stop ,"14,654 NIS ",06/03/2023
Multiple Airlines,MEX,PAR,13h 45m ,2 stops ,"14,919 NIS ",06/03/2023
"MEA, Aeroflot",MEX,PAR,17h 00m ,1 stop ,"15,346 NIS ",06/03/2023
Multiple Airlines,MEX,PAR,12h 55m ,2 stops ,"18,082 NIS ",06/03/2023
Multiple Airlines,MEX,PAR,16h 10m ,2 stops ,"18,217 NIS ",06/03/2023
"Emirates, Aeroflot",MEX,PAR,17h 05m ,2 stops ,"31,859 NIS ",06/03/2023
Qatar Airways,MEX,PAR,9h 00m ,1 stop ,"2,201 NIS ",07/03/2023
"Turkish Airlines, Nordwind Airlines",MEX,PAR,15h 35m ,1 stop ,"1,554 NIS ",07/03/2023
"Etihad Airways, Nordwind Airlines",MEX,PAR,19h 20m ,3 stops ,"1,196 NIS ",07/03/2023
Qatar Airways,MEX,PAR,9h 00m ,1 stop ,"2,196 NIS ",07/03/2023
"Turkish Airlines, Aeroflot",MEX,PAR,16h 50m ,1 stop ,"1,844 NIS ",07/03/2023
"flynas, Aeroflot",MEX,PAR,13h 30m ,1 stop ,"1,849 NIS ",07/03/2023
